Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Mitrasacme montana	montana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Mitrasacme	Mitrasacme montana
Pentopetia boivinii	boivinii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Pentopetia	Pentopetia boivinii
Carvalhoa macrophylla	macrophylla	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Carvalhoa	Carvalhoa macrophylla
Alstonia coriacea	coriacea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alstonia	Alstonia coriacea
Marsdenia verrucosa	verrucosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Marsdenia	Marsdenia verrucosa
Alyxia loeseneriana	loeseneriana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	Alyxia loeseneriana
Matelea macvaughiana	macvaughiana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Matelea	Matelea macvaughiana
Skytanthus hancorniifolius	hancorniifolius	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Skytanthus	Skytanthus hancorniifolius
Amalocalyx microlobus	microlobus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Amalocalyx	Amalocalyx microlobus
Picria fel-terrae	fel-terrae	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Picria	Picria fel-terrae
Toxocarpus brevipes	brevipes	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Toxocarpus	Toxocarpus brevipes
Cryptolepis buchananii	buchananii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptolepis	Cryptolepis buchananii
Tabernaemontana glandulosa	glandulosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana glandulosa
Landolphia micrantha	micrantha	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Landolphia	Landolphia micrantha
Melodinus neoebudicus	neoebudicus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Melodinus	Melodinus neoebudicus
Strychnos pungens	pungens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos pungens
Alyxia podocarpa	podocarpa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	Alyxia podocarpa
Parsonsia populifolia	populifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Parsonsia	Parsonsia populifolia
Stapelia gettleffii	gettleffii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Stapelia	Stapelia gettleffii
Prestonia marginata	marginata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Prestonia	Prestonia marginata
Voacanga chalotiana	chalotiana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Voacanga	Voacanga chalotiana
Cryptolepis sinensis	sinensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptolepis	Cryptolepis sinensis
Gomphocarpus pachyglossus	pachyglossus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Gomphocarpus	Gomphocarpus pachyglossus
Geniostoma cordifolium	cordifolium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Geniostoma	Geniostoma cordifolium
Asclepias setosa	setosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias setosa
Cynanchum schlechtendalii	schlechtendalii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum schlechtendalii
Raphionacme elata	elata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Raphionacme	Raphionacme elata
Asclepias leptopus	leptopus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias leptopus
Ceropegia stapeliiformis	stapeliiformis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Ceropegia	Ceropegia stapeliiformis
Vincetoxicum sublanceolatum	sublanceolatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vincetoxicum	Vincetoxicum sublanceolatum
Vincetoxicum japonicum	japonicum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vincetoxicum	Vincetoxicum japonicum
Alafia schumannii	schumannii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alafia	Alafia schumannii
Ceropegia thysanotos	thysanotos	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Ceropegia	Ceropegia thysanotos
Mascarenhasia maroana	maroana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Mascarenhasia	Mascarenhasia maroana
Mandevilla atroviolacea	atroviolacea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Mandevilla	Mandevilla atroviolacea
Cynanchum bifidum	bifidum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum bifidum
Anodendron punctatum	punctatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Anodendron	Anodendron punctatum
Frasera cusickii	cusickii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Frasera	Frasera cusickii
Gentiana handeliana	handeliana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana handeliana
Lomatogonium oreocharis	oreocharis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Lomatogonium	Lomatogonium oreocharis
Spigelia bahiana	bahiana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Spigelia	Spigelia bahiana
Vincetoxicum discolor	discolor	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vincetoxicum	Vincetoxicum discolor
Symbolanthus brittonianus	brittonianus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Symbolanthus	Symbolanthus brittonianus
Gentiana corymbifera	corymbifera	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana corymbifera
Piaranthus disparilis	disparilis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Piaranthus	Piaranthus disparilis
Stathmostelma fornicatum	fornicatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Stathmostelma	Stathmostelma fornicatum
Asclepias nuttii	nuttii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias nuttii
Asclepias cucullata	cucullata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias cucullata
Blepharodon minimus	minimus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Blepharodon	Blepharodon minimus
Canscora melastomacea	melastomacea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Canscora	Canscora melastomacea
Dischidia major	major	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Dischidia	Dischidia major
Erythraea texensis	texensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Erythraea texensis
Gentiana atuntsiensis	atuntsiensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana atuntsiensis
Gentiana wardii	wardii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana wardii
Mitreola inconspicua	inconspicua	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Mitreola	Mitreola inconspicua
Rouliniella jaliscana	jaliscana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Rouliniella	Rouliniella jaliscana
Spigelia lindheimeri	lindheimeri	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Spigelia	Spigelia hedyotidea
Caralluma plicatiloba	plicatiloba	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Caralluma	Caralluma plicatiloba
Hoya imperialis	imperialis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Hoya	Hoya imperialis
Hoya minima	minima	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Hoya	Hoya minima
Pachypodium baronii windsorii	baronii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Pachypodium	Pachypodium windsorii
Allomarkgrafia plumeriiflora	plumeriiflora	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Allomarkgrafia	Allomarkgrafia plumeriiflora
Alyxia flavescens	flavescens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	Alyxia flavescens
Apocynum laurinum	laurinum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum	Apocynum laurinum
Stapelia discolor	discolor	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Stapelia	Stapelia discolor
Vincetoxicum purpurascens	purpurascens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vincetoxicum	Vincetoxicum purpurascens
Condylocarpon hirtellum	hirtellum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Condylocarpon	Condylocarpon hirtellum
Echites rigidus	rigidus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Echites	Echites rigidus
Galactophora pumila	pumila	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Galactophora	Galactophora pumila
Gentiana arethusae	arethusae	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana arethusae
Morrenia connectens	connectens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Morrenia	Morrenia connectens
Pteralyxia kauaiensis	kauaiensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Pteralyxia	Pteralyxia kauaiensis
Rauvolfia palawanensis	palawanensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Rauvolfia	Rauvolfia palawanensis
Stemmadenia pennellii	pennellii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Stemmadenia	Stemmadenia pennellii
Gentiana propinqua	propinqua	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella propinqua
Tapeinostemon longiflorum australe	longiflorum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Tapeinostemon	Tapeinostemon longiflorum
Cynanchum monense	monense	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum monense
Frasera fastigiata	fastigiata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Frasera	Frasera fastigiata
Swertia alternifolia	alternifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Swertia	Swertia alternifolia
Tabernaemontana biflora	biflora	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana biflora
Zschokkea peruviana	peruviana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Zschokkea	Zschokkea peruviana
Gentiana scabra stenophylla	scabra	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana scabra
Toxocarpus		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Toxocarpus	
Amblyopetalum coccineum	coccineum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Amblyopetalum	Amblyopetalum coccineum
Asclepias diploglossa	diploglossa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias diploglossa
Asclepias jaliscana	jaliscana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias jaliscana
Alstonia pacifica	pacifica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alstonia	Alstonia pacifica
Centaurium calycosum arizonicum	calycosum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium arizonicum
Alyxia subalpina	subalpina	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	Alyxia subalpina
Chelonanthus		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chelonanthus	
Asclepias cutleri	cutleri	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias cutleri
Couma catingae	catingae	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Couma	Couma catingae
Frasera parryi	parryi	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Frasera	Frasera parryi
Cynanchum andringitrense	andringitrense	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum andringitrense
Halenia garcia-barrigae	garcia-barrigae	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Halenia	Halenia garcia-barrigae
Tabernaemontana laeta	laeta	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana laeta
Chlora imperfoliata	imperfoliata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chlora	Chlora imperfoliata
Apocynum pictum	pictum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum	Apocynum pictum
Gentiana carinthiaca	carinthiaca	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana carinthiaca
Gentianella corymbifera	corymbifera	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella corymbifera
Alafia grandis	grandis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alafia	Alafia grandis
Chelonanthus longistylus	longistylus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chelonanthus	Chelonanthus longistylus
Irlbachia nemorosa	nemorosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Irlbachia	Irlbachia nemorosa
Swertia macrosepala	macrosepala	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Swertia	Swertia macrosepala
Fagraea elliptica	elliptica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Fagraea	Fagraea elliptica
Halenia rothrockii	rothrockii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Halenia	Halenia rothrockii
Gentiana praecox	praecox	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana praecox
Gentianella stuebelii	stuebelii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella stuebelii
Gentiana imbricata	imbricata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana imbricata
Dischidia pubicaulis	pubicaulis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Dischidia	Dischidia pubicaulis
Gentianella primuloides	primuloides	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella primuloides
Gentiana dielsiana	dielsiana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana dielsiana
Gentianopsis victorinii	victorinii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianopsis	Gentianopsis victorinii
Exacum stenophyllum	stenophyllum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Exacum	Exacum stenophyllum
Voyria caerulea	caerulea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Voyria	Voyria caerulea
Irlbachia		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Irlbachia	
Irlbachia oblongifolia	oblongifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Irlbachia	Irlbachia oblongifolia
Matelea flavidula	flavidula	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Matelea	Matelea flavidula
Dischidia copelandii	copelandii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Dischidia	Dischidia copelandii
Malouetia virescens	virescens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Malouetia	Malouetia virescens
Mandevilla novocapitalis	novocapitalis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Mandevilla	Mandevilla novocapitalis
Mandevilla syrinx	syrinx	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Mandevilla	Mandevilla syrinx
Matelea boliviensis	boliviensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Matelea	Matelea boliviensis
Matelea lanata	lanata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Matelea	Matelea lanata
Merrillanthus hainanensis	hainanensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Merrillanthus	Merrillanthus hainanensis
Metastelma barbigerum	barbigerum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum barbigerum
Metastelma scoparium	scoparium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum scoparium
Morrenia herzogii	herzogii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Morrenia	Morrenia herzogii
Kopsia carolinensis	carolinensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Kopsia	Kopsia carolinensis
Pentopetia elastica	elastica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Pentopetia	Pentopetia elastica
Philibertia tubata	tubata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Philibertia	Philibertia tubata
Geniostoma petiolosum	petiolosum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Geniostoma	Geniostoma petiolosum
Erythraea maritima	maritima	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Erythraea maritima
Strophanthus caudatus	caudatus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Strophanthus	Strophanthus caudatus
Stephanotis chinensis	chinensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Stephanotis	Stephanotis chinensis
Tabernaemontana rupicola	rupicola	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana rupicola
Catharanthus ovalis	ovalis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Catharanthus ovalis
Sabatia foliosa	foliosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Sabatia	Sabatia dodecandra
Sarcolobus porcatus	porcatus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Sarcolobus	Sarcolobus porcatus
Asclepias fuscata	fuscata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias fuscata
Caralluma priogonium	priogonium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Caralluma	Caralluma priogonium
Crawfurdia		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Crawfurdia	
Gentiana pseudosquarrosa	pseudosquarrosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana pseudosquarrosa
Gentiana sutchuenensis	sutchuenensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana sutchuenensis
Ceropegia occulta	occulta	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Ceropegia	Ceropegia occulta
Pentarrhinum abyssinicum angolense	abyssinicum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Pentarrhinum	Pentarrhinum abyssinicum
Gentiana andrewsii andrewsii	andrewsii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana andrewsii
Gentiana ochroleuca	ochroleuca	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana ochroleuca
Stathmostelma		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Stathmostelma	
Geniostoma vestitum	vestitum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Geniostoma	Geniostoma vestitum
Centaurium tenuifolium	tenuifolium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium tenuifolium
Asclepias alexicaca	alexicaca	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias alexicaca
Strychnos gerrardii	gerrardii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos gerrardii
Vincetoxicum		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vincetoxicum	
Sebaea rhomboidea	rhomboidea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Sebaea	Sebaea rhomboidea
Condylocarpon myrtifolium	myrtifolium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Condylocarpon	Condylocarpon myrtifolium
Geniostoma uninervium	uninervium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Geniostoma	Geniostoma uninervium
Vincetoxicum tmoleum	tmoleum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vincetoxicum	Vincetoxicum tmoleum
Clitandra mannii	mannii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Clitandra	Clitandra mannii
Clitandra leptantha	leptantha	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Clitandra	Clitandra leptantha
Sebaea aurea	aurea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Sebaea	Sebaea aurea
Strychnos potatorum	potatorum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos potatorum
Gomphocarpus tomentosus	tomentosus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Gomphocarpus	Gomphocarpus tomentosus
Asclepias humilis	humilis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias humilis
Cynanchum zeyheri	zeyheri	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum zeyheri
Chironia decumbens	decumbens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chironia	Chironia decumbens
Australluma ubomboensis	ubomboensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Australluma	Australluma ubomboensis
Orbeopsis lutea vaga	lutea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Orbeopsis	Orbeopsis lutea
Stapelia pillansii	pillansii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Stapelia	Stapelia pillansii
Stapelia unicornis	unicornis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Stapelia	Stapelia unicornis
Huernia kirkii	kirkii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Huernia	Huernia kirkii
Fockea edulis	edulis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Fockea	Fockea edulis
Aspidoglossum restioides	restioides	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Aspidoglossum	Aspidoglossum restioides
Periglossum angustifolium	angustifolium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Periglossum	Periglossum angustifolium
Periglossum		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Periglossum	
Asclepias flexuosa	flexuosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias flexuosa
Xysmalobium		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Xysmalobium	
Asclepias multicaulis	multicaulis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias multicaulis
Brachystelma praelongum	praelongum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Brachystelma	Brachystelma praelongum
Brachystelma pygmaeum pygmaeum	pygmaeum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Brachystelma	Brachystelma pygmaeum
Orbea decaisneana	decaisneana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Orbea	Orbea decaisneana
Tabernaemontana orientalis	orientalis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana orientalis
Ervatamia		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Ervatamia	
Alstonia longifolia	longifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alstonia	Alstonia longifolia
Exacum axillare	axillare	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Exacum	Exacum axillare
Forsteronia viridescens	viridescens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Forsteronia	Forsteronia viridescens
Forsteronia montana	montana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Forsteronia	Forsteronia montana
Gentiana dimidiata	dimidiata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana dimidiata
Gentianella volubilis	volubilis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella volubilis
Macrocarpaea		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Macrocarpaea	
Marsdenia rotheana	rotheana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Marsdenia	Marsdenia rotheana
Neblinantha neblinae	neblinae	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Neblinantha	Neblinantha neblinae
Oxypetalum tridens	tridens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Oxypetalum	Oxypetalum tridens
Sebaea pumila	pumila	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Sebaea	Sebaea pumila
Tassadia multiflora	multiflora	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Tassadia	Tassadia multiflora
Wurdackanthus frigidus	frigidus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Wurdackanthus	Wurdackanthus frigidus
